Feature,Coefficient_of_Variation
pos_interj,2167.133916401483
english_word_count,1694.4749429423055
pos_prep,1056.8349804497718
pos_adv,922.128702476738
pos_conj,716.1982508253388
pos_other,582.5696538536296
diacritics_count,459.6578735267351
diacritics_ratio,341.04670492315336
readability_hard,298.3639197669121
pos_adj,285.9254071140919
pos_verb,201.4298187282766
readability_medium,199.07974697714104
number_count,196.46832248930497
model_chatgpt,100.50753819100815
model_gpt4,99.50746318413248
pos_noun,77.81608129958124
readability_easy,65.85939375056655
readability_level,55.9954885381144
punctuation_count,38.07427114326912
punctuation_ratio,37.00695088158321
sentence_count,36.07656142990673
arabic_char_count,34.52662681266953
text_length,33.57995504987118
char_count,33.54434981032337
word_count,32.848035653104176
avg_word_length,13.01424855088103
word_diversity,4.409819654269604
arabic_char_ratio,3.9424311793314715
pos_pseudo,0.0
